,paved parking lot,unpaved parking lot,large parking lot,facility with trucks,unpaved area with trucks,unpaved area,airport facilities
0_0,0.0,0.0,0.0,0.0,0.0,0.5236883163452148,0.0
0_1,0.0,0.0,0.0,0.0,0.0,0.19677734375,0.0
0_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_3,0.0,0.0,0.0,0.0,0.0,0.0,0.8583498001098633
0_4,0.0,0.0,0.0,0.3497161865234375,0.0,0.0,0.0
1_0,0.0,0.0,0.0,0.0,0.0,0.5422782897949219,0.0
1_1,0.0,0.0,0.0,0.0,0.0,0.120361328125,0.0
1_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_3,0.0,0.0,0.0,0.0,0.0,0.053867340087890625,0.0
1_4,0.0,0.0,0.0,0.0648193359375,0.0,0.1595439910888672,0.0
2_0,0.0,0.0,0.0,0.0,0.0,0.488616943359375,0.0
2_1,0.0,0.0,0.0,0.0,0.0,0.5441131591796875,0.0
2_2,0.0,0.0,0.0,0.0,0.0,0.6000003814697266,0.0
2_3,0.0,0.0,0.0,0.0,0.0,0.9765625,0.0
2_4,0.0,0.0,0.0,0.1810169219970703,0.0,0.1844940185546875,0.0
avg sum,0.0,0.0,0.0,0.03970349629720052,0.0,0.2926869074503581,0.05722332000732422
